id,no_jobs,no_machines,objective,type,pt_sd,mean_sd_per_machine,mean_sd_per_job,mean_skew_per_machine,mean_skew_per_job,mean_kurt_per_machine,mean_kurt_per_job
2,50,20,FLOWTIME,NOIDLE,25.184737221679885,25.000776298683192,24.658281505592015,0.8276174664512417,0.6582686640651343,-0.5876315503669984,0.4234869033535687
3,50,20,FLOWTIME,NOWAIT,25.184737221679885,25.000776298683192,24.658281505592015,0.8276174664512417,0.6582686640651343,-0.5110631276867812,-0.5461693855041653
4,50,20,FLOWTIME,NOWAIT,25.184737221679885,25.000776298683192,24.658281505592015,0.8276174664512417,0.6582686640651343,-0.4393479244518346,-0.7424613870983423
6,50,20,FLOWTIME,PERM,25.184737221679885,25.000776298683192,24.658281505592015,0.8276174664512417,0.6582686640651343,-0.7107594516257983,-0.37318665987761146
8,50,20,MAKESPAN,NOIDLE,25.184737221679885,25.000776298683192,24.658281505592015,0.8276174664512417,0.6582686640651343,-0.9162551026104863,-0.15106646152373007
9,50,20,MAKESPAN,NOWAIT,25.184737221679885,25.000776298683192,24.658281505592015,0.8276174664512417,0.6582686640651343,-0.4969096840151256,-0.4414195014642633
10,50,20,MAKESPAN,NOWAIT,25.184737221679885,25.000776298683192,24.658281505592015,0.8276174664512417,0.6582686640651343,-1.061851118642849,-0.03799304126616086
11,50,20,MAKESPAN,PERM,25.184737221679885,25.000776298683192,24.658281505592015,0.8276174664512417,0.6582686640651343,-0.8977792005771827,-0.4633366960082703
12,50,20,MAKESPAN,PERM,25.184737221679885,25.000776298683192,24.658281505592015,0.8276174664512417,0.6582686640651343,-0.3417271907959257,-0.13586290219017444
13,100,20,FLOWTIME,NOIDLE,25.10070071891848,25.01694258203403,24.53559760044916,0.9174014718140487,0.6364121954187857,-0.6880529874402421,0.3209115607169524
14,100,20,FLOWTIME,NOIDLE,25.10070071891848,25.01694258203403,24.53559760044916,0.9174014718140487,0.6364121954187857,-0.6681869428885062,0.02568771026209334
16,100,20,FLOWTIME,NOWAIT,25.10070071891848,25.01694258203403,24.53559760044916,0.9174014718140487,0.6364121954187857,-0.21923447560195988,-0.17384129426877648
17,100,20,FLOWTIME,PERM,25.10070071891848,25.01694258203403,24.53559760044916,0.9174014718140487,0.6364121954187857,-0.16328181112563592,-0.8718324650278497
20,100,20,MAKESPAN,NOIDLE,25.10070071891848,25.01694258203403,24.53559760044916,0.9174014718140487,0.6364121954187857,-0.24833742016727806,-0.4300665233218335
21,100,20,MAKESPAN,NOWAIT,25.10070071891848,25.01694258203403,24.53559760044916,0.9174014718140487,0.6364121954187857,-0.24467792219242632,0.22618541856496924
23,100,20,MAKESPAN,PERM,25.10070071891848,25.01694258203403,24.53559760044916,0.9174014718140487,0.6364121954187857,-0.42021352843005566,-0.5034481757986543
24,100,20,MAKESPAN,PERM,25.10070071891848,25.01694258203403,24.53559760044916,0.9174014718140487,0.6364121954187857,-0.5068839679845102,-1.5107872746049824
25,100,40,FLOWTIME,NOIDLE,25.010095910350476,24.92459740780525,24.774685877912646,0.9065154619824117,0.7992206326095754,-0.2260948153080358,-0.8068520455062747
26,100,40,FLOWTIME,NOIDLE,25.010095910350476,24.92459740780525,24.774685877912646,0.9065154619824117,0.7992206326095754,-0.31806591640937787,-0.6772482481585481
27,100,40,FLOWTIME,NOWAIT,25.010095910350476,24.92459740780525,24.774685877912646,0.9065154619824117,0.7992206326095754,-0.7308835343301484,-0.5827203360537628
28,100,40,FLOWTIME,NOWAIT,25.010095910350476,24.92459740780525,24.774685877912646,0.9065154619824117,0.7992206326095754,-0.5954390403525935,-0.36473584732530373
29,100,40,FLOWTIME,PERM,25.010095910350476,24.92459740780525,24.774685877912646,0.9065154619824117,0.7992206326095754,0.283605979981043,-0.1915335045070666
30,100,40,FLOWTIME,PERM,25.010095910350476,24.92459740780525,24.774685877912646,0.9065154619824117,0.7992206326095754,0.0624413622056243,-0.5612049692639965
31,100,40,MAKESPAN,NOIDLE,25.010095910350476,24.92459740780525,24.774685877912646,0.9065154619824117,0.7992206326095754,0.0028075124439894935,-1.3870962544198207
32,100,40,MAKESPAN,NOIDLE,25.010095910350476,24.92459740780525,24.774685877912646,0.9065154619824117,0.7992206326095754,-0.407403723087635,-0.14839316210625714
33,100,40,MAKESPAN,NOWAIT,25.010095910350476,24.92459740780525,24.774685877912646,0.9065154619824117,0.7992206326095754,-0.4681873507666251,-0.6570810408086571
36,100,40,MAKESPAN,PERM,25.010095910350476,24.92459740780525,24.774685877912646,0.9065154619824117,0.7992206326095754,-0.24136653243494002,0.3476874291209195
37,200,20,FLOWTIME,NOIDLE,24.95450970738716,24.90424833622539,24.395634684809092,0.944561209244267,0.6392280480478675,-0.7762317769980497,0.22959225650519374
38,200,20,FLOWTIME,NOIDLE,24.95450970738716,24.90424833622539,24.395634684809092,0.944561209244267,0.6392280480478675,-0.4604857170146539,-0.1212200715856791
39,200,20,FLOWTIME,NOWAIT,24.95450970738716,24.90424833622539,24.395634684809092,0.944561209244267,0.6392280480478675,-0.3480497690073209,0.7940864389093417
40,200,20,FLOWTIME,NOWAIT,24.95450970738716,24.90424833622539,24.395634684809092,0.944561209244267,0.6392280480478675,-0.015937474880909443,-0.30363809367927963
41,200,20,FLOWTIME,PERM,24.95450970738716,24.90424833622539,24.395634684809092,0.944561209244267,0.6392280480478675,-0.14857305770071477,-0.39879889669506513
42,200,20,FLOWTIME,PERM,24.95450970738716,24.90424833622539,24.395634684809092,0.944561209244267,0.6392280480478675,-0.5882501471631136,-0.7435202711417981
